Time,Event,EventTime,U,Beta,G1_1,G1_2,X1_1,X1_2,XX1,SS,gg1,z1,G11,G22,rho,delta
0,NaN,NaN,0,0,0,0,-0.4,-0.4,130807.474495653,0,6540373.72478267,0,0.0271650341015025,0.237850683285618,0,0
0.01,1,0.01,0,0,0,0,-0.4,-0.4,130807.474495653,0,0,0,0.0237396071049226,0.236694586136769,0,0
0.02,NaN,NaN,0,0,0,0,-0.4,-0.4,130807.474495653,0,0,0,0.017612489599002,0.244230793969633,0,0
0.03,NaN,NaN,0,0,0,0,-0.4,-0.4,130807.474495653,0,0,0,0.0113836706564431,0.23538701479279,0,0
0.04,NaN,NaN,0,0,0,0,-0.4,-0.4,130807.474495653,0,0,0,0.00414090465284259,0.231307403055848,0,0
0.05,NaN,NaN,0,1,-0.119427298534386,-0.7698665359089,-0.583005314371408,-0.356000365246385,130807.474495653,6540373.72478267,0,-0.4,0.00168860074617107,0.230693853139162,0.717977140360145,0.137977140360145
0.06,1,0.05,-0.00127247767972242,1,-0.139092447878458,-0.830578868538528,-0.745511205296903,-0.314572406722431,278722.619697108,13936130.9848554,0,-0.583005314371407,0.00795485940174133,0.277998864846867,0.700885756896916,0.120885756896916
0.07,1,0.01,-0.00181094293760756,1,-0.158648504297499,-0.876393067472823,-0.901341677486038,-0.275665195153013,461480.065357805,23074003.2678902,0,-0.745511205296903,0.0138652551039936,0.277165672203805,0.712151485983021,0.132151485983021
0.08,1,0.01,-0.00176775322674793,1,-0.17808086811733,-0.910424593900427,-1.00460139882831,-0.239086603923366,682107.945833305,34105397.2916652,0,-0.901341677486038,0.0194884363973225,0.242258756671142,0.708686874145278,0.128686874145278
0.09,NaN,NaN,-0.00176775322674793,1,-0.197375320224904,-0.935409070603099,-1.0913124721895,-0.205134147145872,853873.417803265,42693670.8901633,498527.667840369,-1.00460139882831,0.0232435003291972,0.227189412100744,0.705680343527444,0.125680343527444
0.1,1,0.02,-0.00293630985886185,1,-0.216518061493029,-0.953594123708712,-1.19278727140075,-0.173713987520771,1013899.93656638,50694996.8283188,0,-1.0913124721895,0.0329710122811455,0.263498064675404,0.719974759586146,0.139974759586146
0.11,NaN,NaN,-0.00293630985886185,1,-0.235495749538498,-0.966747287784237,-1.24022976956641,-0.144417393761978,1218014.89522073,60900744.7610367,476941.142247421,-1.19278727140075,0.0331195605198108,0.245730300940647,0.715716029345468,0.135716029345468
0.12,NaN,NaN,-0.00293630985886185,0,-0.254295532626391,-0.976217736711226,-1.26524067331625,-0.117602719788705,1322167.69784645,66108384.8923224,1048961.28066956,-1.24022976956641,0.0420136272426405,0.273404715754094,0.705784890999962,0.125784890999962
0.13,1,0.03,-0.00345192350862326,1,-0.272905080563133,-0.983014274296711,-1.3217122595124,-0.0931970922838874,1380665.06211821,69033253.1059105,0,-1.26524067331625,0.0525812923904245,0.247614118993173,0.709129362711239,0.129129362711239
0.14,NaN,NaN,-0.00345192350862326,1,-0.291312612451591,-0.987880397016832,-1.33266335682762,-0.0706643157506998,1511640.32000735,75582016.0003673,151665.784460998,-1.3217122595124,0.0538426890150218,0.242140486196631,0.698288162203375,0.118288162203375
0.15,NaN,NaN,-0.00345192350862326,1,-0.309506921212638,-0.991358532960176,-1.31166380047849,-0.0502736326735925,1540841.61989961,77042080.9949804,230275.75765312,-1.33266335682762,0.0583806801122374,0.245477282089193,0.707885197789267,0.127885197789267
0.16,NaN,NaN,-0.00345192350862326,1,-0.327477394808705,-0.993841590757045,-1.33101989301498,-0.0321371121805698,1496027.80895905,74801390.4479524,135141.180165631,-1.31166380047849,0.0620379015114984,0.268581692267554,0.707276537310799,0.127276537310799
