Time,Event,EventTime,H1,H2,U,Beta,G1_1,G1_2,G1_3,X1_1,X1_2,X1_3,XX1,SS,gg1
2,NaN,NaN,1,0,8.23753112184618e-05,1,1,1,1,0.00103631527514592,-0.0352426928702806,-0.0869697563193352,1907405.03628902,4238677.85842005,546888.796178229
2.01,NaN,NaN,1,0,8.23753112184618e-05,1,1,1,1,0.000938325980034556,-0.0342128941996274,-0.085049317548626,1817760.65851911,4039468.13004247,622102.784749909
2.02,NaN,NaN,1,0,8.23753112184618e-05,1,1,1,1,0.000829941902803739,-0.0332397970380322,-0.083188645471368,1735024.49928643,3855609.99841428,697561.194620667
2.03,NaN,NaN,1,0,8.23753112184618e-05,1,1,1,1,0.000730778174462267,-0.0323046516478669,-0.0813700144288239,1657401.23000685,3683113.84445968,774022.611125877
2.04,NaN,NaN,1,0,8.23753112184618e-05,1,1,1,1,0.000655040696457992,-0.0313903324299963,-0.0795773088566624,1583433.74837174,3518741.6630483,852362.515017373
2.05,NaN,NaN,1,0,8.23753112184618e-05,1,1,1,1,0.000615164085181038,-0.0304788302741699,-0.0777934238103549,1511951.65613254,3359892.56918342,933522.833129277
2.06,NaN,NaN,1,0,8.23753112184618e-05,1,1,1,1,0.000623975480666534,-0.0295494933882656,-0.0759984446855431,1441867.72479905,3204150.49955344,1018690.15512701
2.07,NaN,NaN,1,0,8.23753112184618e-05,1,1,1,1,0.000691604418742773,-0.0285820969786029,-0.0741726677547618,1372064.04870824,3049031.21935164,1109463.09700212
2.08,NaN,NaN,1,0,8.23753112184618e-05,1,1,1,1,0.000814164858280669,-0.0275687342446227,-0.0723084432065794,1301600.01248472,2892444.47218827,1207635.37703722
2.09,1,0.22,1,0,3.74387959704979e-05,1,1,1,1,0.000960881370994124,-0.0265294210651578,-0.0704257474965447,1230402.15578624,2734227.0128583,0
2.1,NaN,NaN,1,0,3.74387959704979e-05,0,1,1,1,0.0011311180658961,-0.0255115771221389,-0.0685716998432582,1160002.39984092,2577783.1107576,2353.54679826612
2.11,NaN,NaN,1,0,3.74387959704979e-05,1,1,1,1,0.00116962246399208,-0.0245620936252476,-0.0667940422218833,1092465.84759294,2427701.88353987,9318.36226295225
2.12,NaN,NaN,1,0,3.74387959704979e-05,1,1,1,1,0.00113182420744373,-0.0237037401443235,-0.0651137231614937,1031695.24561568,2292656.10136819,19814.1220959206
2.13,NaN,NaN,1,0,3.74387959704979e-05,1,1,1,1,0.00103947180409369,-0.0229290484456684,-0.0635234229335699,977363.32565019,2171918.50144487,32864.6158904948
2.14,NaN,NaN,1,0,3.74387959704979e-05,1,1,1,1,0.000922819193789263,-0.022217523245867,-0.0620031379159256,928519.261771075,2063376.13726906,47793.3742768004
2.15,NaN,NaN,1,0,3.74387959704979e-05,1,1,1,1,0.000806633228790027,-0.0215481128757119,-0.0605325292101407,883728.268561942,1963840.59680431,64371.1048818004
