Time,Event,EventTime,H1,H2,U,Beta,G1_1,G1_2,G1_3,X1_1,X1_2,X1_3,XX1,SS
0.62,NaN,NaN,0,0,0,0,0,0,0,1,-1,0.5,589981545.348538,0
0.63,NaN,NaN,0,0,0,0,0,0,0,1,-1,0.5,589981545.348538,0
0.64,NaN,NaN,0,0,0,0,0,0,0,1,-1,0.5,589981545.348538,0
0.65,NaN,NaN,0,0,0,0,0,0,0,1,-1,0.5,589981545.348538,0
0.66,NaN,NaN,0,0,0,0,0,0,0,1,-1,0.5,589981545.348538,0
0.67,NaN,NaN,0,0,0,0,0,0,0,1,-1,0.5,589981545.348538,0
0.68,NaN,NaN,0,0,0,0,0,0,0,1,-1,0.5,589981545.348538,0
0.69,NaN,NaN,0,0,0,0,0,0,0,1,-1,0.5,589981545.348538,0
0.7,NaN,NaN,0,0,0,0,0,0,0,1,-1,0.5,589981545.348538,0
0.71,NaN,NaN,0,0,0,0,0,0,0,1,-1,0.5,589981545.348538,0
0.72,NaN,NaN,0,0,0,0,0,0,0,1,-1,0.5,589981545.348538,0
0.73,NaN,NaN,0,0,0,0,0,0,0,1,-1,0.5,589981545.348538,0
0.74,NaN,NaN,0,0,0,0,0,0,0,1,-1,0.5,589981545.348538,0
0.75,NaN,NaN,0,0,0,0,0,0,0,1,-1,0.5,589981545.348538,0
0.76,NaN,NaN,0,0,0,0,0,0,0,1,-1,0.5,589981545.348538,0
0.77,NaN,NaN,0,0,0,0,0,0,0,1,-1,0.5,589981545.348538,0
0.78,NaN,NaN,0,0,0,0,0,0,0,1,-1,0.5,589981545.348538,0
0.79,NaN,NaN,0,0,0,0,0,0,0,1,-1,0.5,589981545.348538,0
0.8,NaN,NaN,0,0,0,0,0,0,0,1,-1,0.5,589981545.348538,0
0.81,NaN,NaN,1,0,0,1,1,1,1,0.808261087555104,-0.951028721261552,0.448714278738448,589981545.348538,1311070100.77453
0.82,NaN,NaN,1,0,0,1,1,1,1,0.653338150188972,-0.907904830263605,0.400892389922783,434283426.686078,965074281.524617
0.83,NaN,NaN,1,0,0,1,1,1,1,0.528160992867796,-0.869593399521078,0.356209249909776,327806468.831995,728458819.626655
0.84,NaN,NaN,1,0,0,1,1,1,1,0.427009689540333,-0.835263606054622,0.314380008475279,254333179.719358,565184843.820795
0.85,1,0.84,1,0,0.000503466805164283,1,1,1,1,0.345259477855028,-0.804246824351636,0.275155663180695,203088192.491324,451307094.425164
0.86,NaN,NaN,1,0,0.000503466805164283,1,1,1,1,0.27917631233286,-0.776000256773989,0.238321968389344,166895663.853234,370879253.007186
0.87,NaN,NaN,1,0,0.000503466805164283,1,1,1,1,0.225749564497889,-0.75007852150863,0.203697545251838,140963290.308628,313251756.241395
0.88,NaN,NaN,1,0,0.000503466805164283,1,1,1,1,0.182553063460715,-0.726113776398391,0.171129268665284,122078307.359419,271285127.465376
0.89,NaN,NaN,1,0,0.000503466805164283,1,1,1,1,0.147630560684,-0.703801957314514,0.140486253732841,108076115.96287,240169146.584156
0.9,NaN,NaN,1,0,0.000503466805164283,1,1,1,1,0.119403215214298,-0.682892103233669,0.111654563017689,97489674.750183,216643721.667073
0.91,1,0.06,1,0,0.00087140606802683,1,1,1,1,0.096595845392886,-0.663177184166844,0.084533475474444,89318129.2801068,198484731.733571
