Time,Event,EventTime,H1,H2,U,Beta,G1_1,G1_2,G1_3,X1_1,X1_2,X1_3,XX1,SS,gg1,z1
2.65,NaN,NaN,1,0,5.88287720662669e-06,1,1,1,1,0.00109089643806988,0.000930129620265262,-0.00968176999012769,16867.0581026449,37482.3513392109,526.376405106462,0.00123149143655377
2.66,NaN,NaN,1,0,5.88287720662669e-06,1,1,1,1,0.000967631023473246,0.00102011912534854,-0.00923147948700231,15386.0549383149,34191.2331962552,1042.55044962519,0.00109089643806988
2.67,NaN,NaN,1,0,5.88287720662669e-06,0,1,1,1,0.000875895778691547,0.00111278450558273,-0.00878567871185457,14039.3929550399,31198.6510111997,1693.83111024069,0.000967631023473246
2.68,NaN,NaN,1,0,5.88287720662669e-06,1,1,1,1,0.000829822365279854,0.00122901147955302,-0.00832393967795271,12744.8529309687,28321.8954021527,2503.85926725518,0.000875895778691547
2.69,NaN,NaN,1,0,5.88287720662669e-06,1,1,1,1,0.000847602203591889,0.00139629256625356,-0.00781904717669448,11431.0615672981,25402.3590384402,3545.75773576038,0.000829822365279854
2.7,NaN,NaN,1,0,5.88287720662669e-06,1,1,1,1,0.000947027195157588,0.00164498472799668,-0.00724068521241966,10034.2932968014,22298.4295484475,4984.71082214008,0.000847602203591889
2.71,NaN,NaN,1,0,5.88287720662669e-06,1,1,1,1,0.00112486838174969,0.00198753176676862,-0.00657614311959941,8540.26238728204,18978.3608606267,7124.28243016087,0.000947027195157588
2.72,1,0.09,1,0,4.01504425001489e-06,1,1,1,1,0.00133176084127098,0.00238923969783016,-0.00585947496711749,7064.90802276687,15699.7956061486,0,0.00112486838174969
2.73,NaN,NaN,1,0,4.01504425001489e-06,1,1,1,1,0.00148503205274799,0.00277227642378543,-0.00516753711955697,5842.3367399369,12982.9705331931,428.408510388298,0.00133176084127098
2.74,NaN,NaN,1,0,4.01504425001489e-06,1,1,1,1,0.00152748386439268,0.00306830197761955,-0.00456760925681176,5014.11018434087,11142.467076313,1590.44405988206,0.00148503205274799
2.75,NaN,NaN,1,0,4.01504425001489e-06,1,1,1,1,0.0014633895343957,0.00325974365000135,-0.00407651190771455,4494.13908428149,9986.97574284777,2995.49486328407,0.00152748386439268
2.76,1,0.04,1,0,3.81606416546818e-06,1,1,1,1,0.0013351785481527,0.00336853772047533,-0.00367211518617137,4119.39208285645,9154.20462856989,0,0.0014633895343957
2.77,NaN,NaN,1,0,3.81606416546818e-06,1,1,1,1,0.00118596088330917,0.00342594260745849,-0.00332347347999085,3800.68060223382,8445.95689385294,67.3541267280108,0.0013351785481527
2.78,NaN,NaN,1,0,3.81606416546818e-06,1,1,1,1,0.00104454562889792,0.00345747732456037,-0.0030056588696287,3516.69848028488,7814.88551174418,227.108985918481,0.00118596088330917
2.79,NaN,NaN,1,0,3.81606416546818e-06,1,1,1,1,0.000928242552240993,0.00348277003246181,-0.00269969423600819,3268.88378294512,7264.18618432248,451.623278207521,0.00104454562889792
2.8,NaN,NaN,1,0,3.81606416546818e-06,1,1,1,1,0.000850471513589845,0.00352082405198514,-0.00238714841620229,3063.66878512139,6808.15285582531,735.523076505471,0.000928242552240993
2.81,NaN,NaN,1,0,3.81606416546818e-06,1,1,1,1,0.00082746998292996,0.00359589931365719,-0.00204417783612326,2914.49381159229,6476.65291464952,1092.86063352156,0.000850471513589845
2.82,NaN,NaN,1,0,3.81606416546818e-06,1,1,1,1,0.000880248811443491,0.00373994932604667,-0.00163903540971057,2853.97234508135,6342.16076684746,1577.4601613443,0.00082746998292996
2.83,NaN,NaN,1,0,3.81606416546818e-06,1,1,1,1,0.00102319014819204,0.00398206385127111,-0.00114256385393584,2955.84522529531,6568.54494510069,2329.74756989325,0.000880248811443491
2.84,1,0.08,1,0,2.55615600383944e-06,1,1,1,1,0.00123496483384669,0.00431802248784563,-0.000558559692266218,3351.67625697656,7448.1694599479,0,0.00102319014819204
2.85,NaN,NaN,1,0,2.55615600383944e-06,1,1,1,1,0.00144145014049237,0.00468630113937975,5.22795398617686e-05,4169.46718685247,9265.48263744994,313.10885548024,0.00123496483384669
2.86,NaN,NaN,1,0,2.55615600383944e-06,1,1,1,1,0.00155635272887935,0.00499867429681622,0.000602833767946766,5338.7318114797,11863.8484699549,1305.5831154563,0.00144145014049237
2.87,NaN,NaN,1,0,2.55615600383944e-06,1,1,1,1,0.00154682274135974,0.00520384805106946,0.00104282945690914,6507.45984658227,14461.0218812939,2634.61905492139,0.00155635272887935
2.88,NaN,NaN,1,0,2.55615600383944e-06,1,1,1,1,0.00144217409685551,0.00530683843982234,0.00137781820207867,7333.0497343539,16295.666076342,3766.67615590625,0.00154682274135974
2.89,NaN,NaN,1,0,2.55615600383944e-06,1,1,1,1,0.00129244619275791,0.0053396046381866,0.00163968380237471,7752.87613007607,17228.6136223913,4498.57416766752,0.00144217409685551
2.9,NaN,NaN,1,0,2.55615600383944e-06,1,1,1,1,0.00113684728247463,0.00533331775971535,0.00185908365983887,7899.45408196736,17554.3424043719,4935.58542240444,0.00129244619275791
2.91,NaN,NaN,1,0,2.55615600383944e-06,1,1,1,1,0.000998780121743846,0.00531106317218472,0.00205841106061267,7923.408294658,17607.5739881289,5243.25182032582,0.00113684728247463
2.92,NaN,NaN,1,0,2.55615600383944e-06,1,1,1,1,0.000892852266318788,0.00529162958513023,0.00225577864608265,7931.53220987416,17625.6271330537,5542.6198052215,0.000998780121743846
2.93,NaN,NaN,1,0,2.55615600383944e-06,1,1,1,1,0.000833166555669468,0.0052960020990955,0.00247162061845177,8003.88000558477,17786.4000124106,5924.05496788076,0.000892852266318788
2.94,NaN,NaN,1,0,2.55615600383944e-06,1,1,1,1,0.00083927611921635,0.00535315448894538,0.00273454659987783,8231.29712587181,18291.7713908263,6495.1906721342,0.000833166555669468
2.95,NaN,NaN,1,0,2.55615600383944e-06,0,1,1,1,0.000934031690145876,0.00549888048114099,0.0030802284038446,8754.93443180406,19455.4098484535,7439.41474330693,0.00083927611921635
