Time,Event,EventTime,H1,H2,U,Beta,G1_1,G1_2,G1_3,X1_1,X1_2,X1_3,XX1,SS,gg1
1.27,NaN,NaN,1,0,0.00120677532617032,1,1,1,1,-0.000183023300692376,-0.267834016294841,-0.262543892997121,31798584.6222226,70663521.382717,21480901.7897494
1.28,NaN,NaN,1,0,0.00120677532617032,0,1,1,1,8.36679374135608e-05,-0.261306811528692,-0.262725460608946,31040992.9856075,68979984.4124611,22606339.3440043
1.29,NaN,NaN,1,0,0.00120677532617032,1,1,1,1,2.34215462236069e-05,-0.254932281905952,-0.262676769735213,30273124.7420924,67273610.5379832,23713962.1023095
1.3,NaN,NaN,1,0,0.00120677532617032,1,1,1,1,-2.52640444681243e-05,-0.248714677165864,-0.262410963423937,29534209.1918893,65631575.9819762,24825666.9920164
1.31,NaN,NaN,1,0,0.00120677532617032,1,1,1,1,-6.46072597908378e-05,-0.242649888448073,-0.261940879486988,28803046.7727704,64006770.6061565,25927811.1264542
1.32,NaN,NaN,1,0,0.00120677532617032,1,1,1,1,-9.64008268388452e-05,-0.236733961195734,-0.26127877409255,28079984.3933519,62399965.3185597,27020346.9225406
1.33,1,0.29,1,0,0.000592634106216251,1,1,1,1,-0.000122093462718876,-0.230963081011018,-0.260436347024306,27365364.5491831,60811921.220407,0
1.34,NaN,NaN,1,0,0.000592634106216251,1,1,1,1,-0.000142855887314617,-0.225333561847677,-0.259424765588197,26659522.1274576,59243382.5054613,15109.7435270351
1.35,NaN,NaN,1,0,0.000592634106216251,1,1,1,1,-0.000159634168729831,-0.219841836101422,-0.258254687293415,25962781.6223732,57695070.2719405,59558.5905884133
1.36,NaN,NaN,1,0,0.000592634106216251,1,1,1,1,-0.000173192832167717,-0.21448444624289,-0.256936281414804,25275454.7296441,56167677.1769869,132100.370543445
1.37,NaN,NaN,1,0,0.000592634106216251,1,1,1,1,-0.00018414969656118,-0.209258037705962,-0.255479249528033,24597838.293844,54661862.8752088,231577.135461645
1.38,NaN,NaN,1,0,0.000592634106216251,1,1,1,1,-0.000193004026332453,-0.204159352799077,-0.253892845095876,23930212.5848635,53178250.1885856,356906.952472154
1.39,NaN,NaN,1,0,0.000592634106216251,1,1,1,1,-0.000200159281055257,-0.199185225451556,-0.252185892173265,23272839.8809354,51717421.9576343,507073.321039134
1.4,NaN,NaN,1,0,0.000592634106216251,0,1,1,1,-4.80285723849528e-05,-0.194332576642856,-0.250366803290043,22625963.3361403,50279918.5247562,681116.011521478
1.41,NaN,NaN,1,0,0.000592634106216251,0,1,1,1,7.49094703371893e-05,-0.189594559369061,-0.248443596563058,21980408.0060485,48845351.1245521,879712.410612696
