Time,Event,EventTime,H1,H2,U,Beta,G1_1,G1_2,G1_3,X1_1,X1_2,X1_3,XX1,SS
1.46,NaN,NaN,1,0,0.000592674002531124,1,1,1,1,-0.000133562156790003,-0.167595533848205,-0.23752498996523,18969767.4307982,42155038.735107
1.47,NaN,NaN,1,0,0.000592674002531124,1,1,1,1,-0.000152123830743046,-0.163511638744567,-0.235124871172381,18402467.419372,40894372.0430489
1.48,NaN,NaN,1,0,0.000592674002531124,1,1,1,1,-0.000167123667957893,-0.159527790254363,-0.232666961808994,17846655.2552621,39659233.9005825
1.49,NaN,NaN,1,0,0.000592674002531124,1,1,1,1,-0.000179245156409907,-0.155641461678321,-0.230156679162896,17302428.5313674,38449841.1808165
1.5,NaN,NaN,1,0,0.000592674002531124,1,1,1,1,-0.000189040628199888,-0.151850204604001,-0.22759916786839,16769857.3326059,37266349.6280132
1.51,NaN,NaN,1,0,0.000592674002531124,1,1,1,1,-0.000196956427317146,-0.148151643798123,-0.22499931195123,16248986.4457917,36108858.768426
1.52,NaN,NaN,1,0,0.000592674002531124,1,1,1,1,-0.000203353247910195,-0.144543472837211,-0.222361746284879,15739837.3367456,34977416.3038792
1.53,NaN,NaN,1,0,0.000592674002531124,1,1,1,1,-0.000208522569806003,-0.141023450340787,-0.219690867503608,15242409.9366877,33872022.0815283
1.54,NaN,NaN,1,0,0.000592674002531124,1,1,1,1,-0.00021269994018458,-0.137589396697236,-0.216990844411746,14756684.2715415,32792631.7145368
1.55,NaN,NaN,1,0,0.000592674002531124,0,1,1,1,-5.81551235689782e-05,-0.134239191193422,-0.214265627923288,14282621.9608659,31739159.9130354
1.56,NaN,NaN,1,0,0.000592674002531124,0,1,1,1,6.67337790966227e-05,-0.130966918266786,-0.211518960561846,13812413.7068907,30694252.6819794
1.57,NaN,NaN,1,0,0.000592674002531124,1,1,1,1,9.73691741442276e-06,-0.127771400594343,-0.208754253366195,13355201.6959137,29678225.9909192
1.58,NaN,NaN,1,0,0.000592674002531124,1,1,1,1,-3.63227024858565e-05,-0.124655201993844,-0.205974759893359,12918110.4183952,28706912.0408783
1.59,NaN,NaN,1,0,0.000592674002531124,1,1,1,1,-7.35438498042313e-05,-0.121616121384566,-0.203183710027132,12491893.1031347,27759762.4514105
1.6,NaN,NaN,1,0,0.000592674002531124,1,1,1,1,-0.000103622556721389,-0.118652062546225,-0.200384147249742,12076535.0487431,26836744.5527623
1.61,NaN,NaN,1,0,0.000592674002531124,1,1,1,1,-0.000127929400410799,-0.115761021740201,-0.197578938638548,11671991.1196366,25937758.043637
1.62,NaN,NaN,1,0,0.000592674002531124,1,1,1,1,-0.000147571955250961,-0.112941077517311,-0.194770784094763,11278190.477824,25062645.5062757
1.63,NaN,NaN,1,0,0.000592674002531124,1,1,1,1,-0.000163445260957734,-0.110190382297169,-0.191962224905612,10895040.5484386,24211201.2187525
1.64,NaN,NaN,1,0,0.000592674002531124,1,1,1,1,-0.000176272606285823,-0.107507155383667,-0.189155651723605,10522430.3544697,23383178.5654882
1.65,1,0.32,1,0,0.000171004781891013,1,1,1,1,-0.000186638486664215,-0.104889677145375,-0.186353312032225,10160233.332652,22578296.2947823
1.66,NaN,NaN,1,0,0.000171004781891013,1,1,1,1,-0.000195015237525036,-0.102336284141605,-0.183557317155639,9808309.72253134,21796243.8278474
1.67,NaN,NaN,1,0,0.000171004781891013,1,1,1,1,-0.000201784556909673,-0.0998453650168411,-0.180769648860531,9466508.60400452,21036685.7866767
1.68,NaN,NaN,1,0,0.000171004781891013,0,1,1,1,-0.000130249265108532,-0.0974153570201647,-0.177992165590448,9134669.6447581,20299265.8772402
1.69,NaN,NaN,1,0,0.000171004781891013,1,1,1,1,-0.000149446656472116,-0.0950428650973422,-0.175226608366699,8809543.50514449,19576763.3447655
1.7,NaN,NaN,1,0,0.000171004781891013,1,1,1,1,-0.00016496022201216,-0.0927286993018247,-0.172474541930208,8497660.4096588,18883689.7992418
1.71,NaN,NaN,1,0,0.000171004781891013,1,1,1,1,-0.000177496858433593,-0.0904713473968853,-0.169737505119516,8195105.05835131,18211344.574114
1.72,NaN,NaN,1,0,0.000171004781891013,1,1,1,1,-0.000187627814618845,-0.0882693512638041,-0.16701693205416,7901715.46854398,17559367.7078755
1.73,NaN,NaN,1,0,0.000171004781891013,1,1,1,1,-0.000195814721359796,-0.0861213022740488,-0.164314157586274,7617321.47292057,16927381.0509346
1.74,NaN,NaN,1,0,0.000171004781891013,0,1,1,1,-0.000125424993241992,-0.0840258374091014,-0.161630422406248,7341746.42911064,16314992.0646903
1.75,NaN,NaN,1,0,0.000171004781891013,1,1,1,1,-0.00014554812378259,-0.0819797580515158,-0.158966877839976,7072029.94011137,15715622.0891364
1.76,NaN,NaN,1,0,0.000171004781891013,1,1,1,1,-0.000161809786557492,-0.0799840671740082,-0.156324525914596,6814037.6959855,15142305.9910789
1.77,NaN,NaN,1,0,0.000171004781891013,1,1,1,1,-0.000174950966339193,-0.0780374417831004,-0.153704368689702,6564207.47319778,14587127.7182173
1.78,NaN,NaN,1,0,0.000171004781891013,0,1,1,1,-0.000108564825899802,-0.0761386092195521,-0.151107328424413,6322369.98107558,14049711.0690568
1.79,NaN,NaN,1,0,0.000171004781891013,1,1,1,1,-0.000131923287672028,-0.0742844645269241,-0.148534252043864,6085763.8017137,13523919.5593638
1.8,NaN,NaN,1,0,0.000171004781891013,1,1,1,1,-0.000150799447497858,-0.0724761065037224,-0.145985850836708,5859845.59849281,13021879.1077618
1.81,NaN,NaN,1,0,0.000171004781891013,1,1,1,1,-0.00016605342326239,-0.0707123092405423,-0.143462849391711,5641290.5116946,12536201.1370991
1.82,NaN,NaN,1,0,0.000171004781891013,1,1,1,1,-0.000178380283109514,-0.0689918976999263,-0.140965905352642,5429935.33135744,12066522.9585721
1.83,NaN,NaN,1,0,0.000171004781891013,1,1,1,1,-0.000188341717166854,-0.0673137424506824,-0.138495613461986,5225612.10395679,11612471.3421262
1.84,NaN,NaN,1,0,0.000171004781891013,1,1,1,1,-0.000196391631720063,-0.0656767553029941,-0.136052509285136,5028149.65826481,11173665.9072551
