Time,Event,EventTime,U,Beta,G1_1,G1_2,G1_3,X1_1,X1_2,x1_3,XX1,SS,gg1,z1,chi,Normalized chi
9.53,NaN,NaN,3.39876166683509e-10,1,2.69250340975949e-15,3.87184978868377e-10,4.09795258814004e-09,-4.21267435900795e-13,-3.77743027099117e-09,-1.33238984931469e-08,4.65362925188638e-08,1.10800696473485e-07,1.10800696473485e-07,-1.34625170487974e-13,2.66530061427043e+19,9.65491573730468e-06
9.54,NaN,NaN,3.39876166683509e-10,1,8.4253487180159e-15,3.77743027099117e-10,3.99716954794406e-09,-6.45306824600713e-13,-3.68532035242147e-09,-1.2996244610826e-08,4.42774007122853e-08,1.05422382648298e-07,1.05422382648298e-07,-4.21267435900795e-13,2.66530061427043e+19,9.65491573730468e-06
9.55,NaN,NaN,3.39876166683509e-10,0,1.29061364920143e-14,3.68532035242147e-10,3.89887338324781e-09,6.46980397698175e-11,-3.5954621820845e-09,-1.26766750684291e-08,4.2128286327374e-08,1.00305443636605e-07,1.00305443636605e-07,-6.45306824600713e-13,2.66530061427043e+19,9.65491573730468e-06
9.56,NaN,NaN,3.39876166683509e-10,1,-1.29396079539635e-12,3.5954621820845e-10,3.80300252052872e-09,5.19925751359303e-11,-3.50620185475414e-09,-1.2364989679744e-08,4.00215331787129e-08,9.52893647112212e-08,9.52893647112212e-08,6.46980397698175e-11,2.66530061427043e+19,9.65491573730468e-06
9.57,NaN,NaN,3.39876166683509e-10,1,-1.03985150271861e-12,3.50620185475414e-10,3.70949690392318e-09,4.17324548795166e-11,-3.41942816719241e-09,-1.20609383640147e-08,3.80861654247746e-08,9.06813462494634e-08,9.06813462494634e-08,5.19925751359303e-11,2.66530061427043e+19,9.65491573730468e-06
9.58,NaN,NaN,3.39876166683509e-10,1,-8.34649097590331e-13,3.41942816719241e-10,3.61828150920439e-09,3.34482199418086e-11,-3.33502084310194e-09,-1.17643444510393e-08,3.62431253065742e-08,8.62931554918434e-08,8.62931554918434e-08,4.17324548795166e-11,2.66530061427043e+19,9.65491573730468e-06
9.59,NaN,NaN,3.39876166683509e-10,1,-6.68964398836173e-13,3.33502084310194e-10,3.52930333531179e-09,2.67605097778992e-11,-3.25287398806149e-09,-1.14750332061677e-08,3.44882875944126e-08,8.21149704628871e-08,8.21149704628871e-08,3.34482199418086e-11,2.66530061427043e+19,9.65491573730468e-06
9.6,NaN,NaN,3.39876166683509e-10,1,-5.35210195557984e-13,3.25287398806149e-10,3.44250996185031e-09,2.13627713553258e-11,-3.17289354156268e-09,-1.11928322574839e-08,3.28176546662274e-08,7.81372730148273e-08,7.81372730148273e-08,2.67605097778992e-11,2.66530061427043e+19,9.65491573730468e-06
9.61,NaN,NaN,3.39876166683509e-10,1,-4.27255427106517e-13,3.17289354156269e-10,3.35784967724515e-09,1.70072864895612e-11,-3.09499521285955e-09,-1.0917571920876e-08,3.12273639097744e-08,7.43508664518438e-08,7.43508664518438e-08,2.13627713553258e-11,2.66530061427043e+19,9.65491573730468e-06
9.62,NaN,NaN,3.39876166683509e-10,1,-3.40145729791223e-13,3.09499521285955e-10,3.2752715762628e-09,1.34938806907786e-11,-3.01910280790793e-09,-1.06490854431035e-08,2.97136925696269e-08,7.07468870705401e-08,7.07468870705401e-08,1.70072864895612e-11,2.66530061427043e+19,9.65491573730468e-06
