Time,X1_pred,X2_pred,X3_pred,U_pred,Event_pred
-0.061,1,-1,0.5,0,0
-0.051,0.808899416725628,-0.950426,0.449317,0,0
-0.041,0.80914967837933,-0.511055088947159,0.450088808628811,0,0
-0.031,0.757826157720836,-0.207314787049392,0.439873913762147,0,0
-0.021,0.661506371755611,-0.0515079351695054,0.425856221797801,0,0
-0.011,0.535368591066683,-0.0333196552665226,0.41027212920237,0,0
-0.001,0.467544731926823,0.0884332845477737,0.400913632647241,0,0
0.00900000000000001,0.438185528378144,0.298811421133849,0.39812200400638,0,0
0.019,0.354911113722496,0.303010337487216,0.395513466181029,0,0
0.029,0.287616596218234,0.305076041717265,0.393138573798,0,0
0.039,0.233225272336725,0.305450258219881,0.390916091571925,0,0
0.049,0.189271208377486,0.304488907489148,0.388782733239616,0,0
0.059,0.153761694340508,0.302479093460912,0.386689600552208,0,0
0.069,0.125002559013411,0.299652322248563,0.384599327527821,-0.000278783256770527,1
0.079,0.101825678619664,0.296193138472547,0.382483776412626,-0.000287806474691382,1
0.089,0.0830961292259734,0.292253099229115,0.380322109137247,-0.000287806474691382,0
0.099,0.0679609183863418,0.287952388201648,0.37809940457918,-0.000287806474691382,0
0.109,0.0557297349720878,0.283387456227262,0.37580537868307,-0.000287806474691382,0
0.119,0.0457804169087825,0.278635567379012,0.373433410748542,-0.000287806474691382,0
0.129,0.0378054004196292,0.273756928824495,0.370979759168413,-0.000287806474691382,0
0.139,0.0313604309253736,0.268802778901285,0.368442877185349,-0.000287806474691382,0
0.149,0.0261521483981393,0.263812272361197,0.365823029732044,-0.000287806474691382,0
0.159,0.0219432609512605,0.25881645491811,0.363121816517561,-0.000287806474691382,0
0.169,0.0185417798166395,0.25383982833684,0.360341847896745,-0.000285129376999081,1
0.179,0.0157278378006333,0.248901614827578,0.35748648558141,-0.000291428529754371,1
0.189,0.013518990606505,0.244015205927222,0.354559635647397,-0.000291428529754371,0
0.199,0.0116688816576099,0.239194094724196,0.351565529730541,-0.000291428529754371,0
0.209,0.0102387801469346,0.234445437353141,0.348508717338253,-0.000291428529754371,0
0.219,0.00908275565976676,0.229777709603853,0.345393837442604,-0.000291428529754371,0
0.229,0.00814841661342086,0.225195621762019,0.342225660702923,-0.000291428529754371,0
0.239,0.00739342391444422,0.22070249157006,0.339008955706393,-0.000291428529754371,0
0.249,0.00678317720675151,0.216300523337142,0.335748441244306,-0.000291428529754371,0
0.259,0.00628992001341198,0.211991023817061,0.332448749805896,-0.000291428529754371,0
0.269,0.0058270118787667,0.207774590998601,0.329114399734507,-0.000291428529754371,0
0.279,0.00551701082449099,0.203649695386606,0.325749774819073,-0.000291428529754371,0
0.289,0.00526627092363662,0.199617833608189,0.322359055892792,-0.000291428529754371,0
0.299,0.00506351797930249,0.195678182049001,0.31894633166154,-0.000291428529754371,0
0.309,0.00489977543439651,0.191829662236333,0.315515522230539,-0.000291428529754371,0
0.319,0.00471564796318872,0.188071003086895,0.312070376143817,-0.000228773286799713,1
0.329,0.00461845008481595,0.184399516041493,0.308614469661758,-0.000228773286799713,0
0.339,0.00448830669758988,0.180815195186007,0.305151164023603,-0.000228773286799713,0
0.349,0.00443446400943572,0.17731511135644,0.301683704901159,-0.000228773286799713,0
0.359,0.00439078841488425,0.173899071009589,0.298215126033517,-0.000228773286799713,0
0.369,0.00435550977670972,0.170565272521952,0.294748350392986,-0.000228773286799713,0
0.379,0.00432672214851967,0.167311915037884,0.291286138794296,-0.000228773286799713,0
0.389,0.0043034436996029,0.164137195138891,0.287831095486529,-0.000228773286799713,0
0.399,0.00428440182889381,0.161039329442541,0.284385673438797,-0.000228773286799713,0
0.409,0.00426905940861854,0.158016547022827,0.280952180220158,-0.000228773286799713,0
0.419,0.00420596129702934,0.155067107042379,0.277532783417559,-0.000228773286799713,0
0.429,0.00420550806820235,0.152188056281087,0.27412951647301,-0.000228773286799713,0
0.439,0.00420500134718345,0.14937920587782,0.270744241676303,-0.000228773286799713,0
0.449,0.00420448307086355,0.146638842551931,0.267378750917627,-0.000228773286799713,0
0.459,0.00415377664187883,0.143965295827266,0.2640347157827,-0.000228773286799713,0
0.469,0.00416279686569829,0.141355712308892,0.260713693150989,-0.000228773286799713,0
0.479,0.00417011740896392,0.138809988679979,0.257417088532527,-0.000228773286799713,0
0.489,0.00417584641002324,0.136326526139293,0.254146255651388,-0.000228773286799713,0
0.499,0.0041804405620555,0.133903767512735,0.250902446895074,-0.000228773286799713,0
0.509,0.00418398662793963,0.131540204738389,0.247686818221313,-0.000228773286799713,0
0.519,0.00418681273495093,0.129234368647329,0.244500434153352,-0.000228773286799713,0
0.529,0.00413949710206515,0.126984833901294,0.241344272253054,-0.000228773286799713,0
0.539,0.00415073361881778,0.124789004672771,0.238219227609945,-0.000160555454894341,1
0.549,0.00415971167140473,0.122646999156579,0.235126075498295,-0.000160555454894341,0
0.559,0.00413068697200495,0.120557449676678,0.232065568640095,-0.000160555454894341,0
0.569,0.0041432950514257,0.118518150214599,0.229038386981033,-0.000160555454894341,0
0.579,0.00415342174884481,0.116528890621734,0.226045111414735,-0.000160555454894341,0
0.589,0.00416153596192401,0.114588390062331,0.223086295684678,-0.000160555454894341,0
0.599,0.00416803013134343,0.112695410371385,0.220162430567908,-0.000160555454894341,0
0.609,0.00417326578126284,0.110848753149471,0.217273947500722,-0.000160555454894341,0
0.619,0.00414164015661417,0.109047258039022,0.214421221980199,-0.000160555454894341,0
0.629,0.00411608323633058,0.107288924735724,0.21160457678981,-0.000160555454894341,0
