Time,X1_pred,X2_pred,U_pred,Event_pred
-0.0471,-0.4,-0.4,0,0
-0.0371,-0.5996,-0.356064016719986,-0.00640167199862919,1
-0.0271,-0.777032408359993,-0.314549661549841,-0.00880465018531452,1
-0.0171,-0.933530206726554,-0.2754336989672,-0.0109327655943454,1
-0.0071,-1.07031352600343,-0.238683043688863,-0.0128016685648179,1
0.0029,-1.18858473432186,-0.204255872195172,-0.0144268135229773,1
0.0129,-1.28952408568512,-0.172102671631885,-0.0158233999448755,1
0.0229,-1.37428589741538,-0.142167226814511,-0.0170063202665379,1
0.0329,-1.44399522492522,-0.114387546302281,-0.0179901143374893,1
0.0429,-1.49974500285143,-0.0886887405661755,-0.0179901143374893,0
0.0529,-1.54258962813167,-0.0650023176244185,-0.0179901143374893,0
0.0629,-1.57354819731575,-0.0432560907240349,-0.0179901143374893,0
0.0729,-1.59360269448045,-0.0233749008218488,-0.0179901143374893,0
0.0829,-1.60369654219689,-0.00530539674379314,-0.0204012948933687,1
0.0929,-1.60474554402659,0.0110580954036214,-0.0204012948933687,0
0.1029,-1.59761175078075,0.0257957283545915,-0.0204012948933687,0
0.1129,-1.58311627485268,0.0389882600780062,-0.0204012948933687,0
0.1229,-1.56203902853882,0.0507165838697987,-0.0204012948933687,0
0.1329,-1.53511869757538,0.0610613028192733,-0.0204012948933687,0
0.1429,-1.50305292746817,0.0701023465641662,-0.0204012948933687,0
0.1529,-1.46649870125862,0.0779186282334976,-0.0204012948933687,0
0.1629,-1.42607288844061,0.0845877394738003,-0.0204012948933687,0
0.1729,-1.38235294581527,0.0901856814618927,-0.0204012948933687,0
0.1829,-1.33587775213851,0.0947866298249225,-0.0204012948933687,0
0.1929,-1.28714855947391,0.0984627314148817,-0.0204012948933687,0
0.2029,-1.236630045207,0.101283930919199,-0.0204012948933687,0
0.2129,-1.18475144970219,0.103317825330415,-0.0204012948933687,0
0.2229,-1.13190778558728,0.104629544345462,-0.0204012948933687,0
0.2329,-1.07846110562896,0.105281654817855,-0.0204012948933687,0
0.2429,-1.02474181711441,0.105334087443425,-0.0204012948933687,0
0.2529,-0.971050031575578,0.104920821150759,-0.0127275719467737,1
0.2629,-0.917618570968623,0.104018798227334,-0.0120441124105185,1
0.2729,-0.864691553283988,0.102679448498979,-0.0113655615307677,1
0.2829,-0.812487137481214,0.100951470524633,-0.0106948657288296,1
0.2929,-0.761198915081417,0.0988742461896932,-0.0106948657288296,0
0.3029,-0.711000593071489,0.0964918620642498,-0.0106948657288296,0
0.3129,-0.662043661446292,0.0938651342914521,-0.00875474970875983,1
0.3229,-0.61444905063912,0.0910115099796822,-0.00875474970875983,0
0.3329,-0.56832884659864,0.0879673019910176,-0.00875474970875983,0
0.3429,-0.523776866756532,0.0847842325462528,-0.00696277116494752,1
0.3529,-0.480860973616649,0.0814795291076683,-0.00640488515245378,1
0.3629,-0.439640348089198,0.0780815033168941,-0.00586826161738725,1
0.3729,-0.400159956082662,0.0746110738499228,-0.00586826161738725,0
0.3829,-0.362454259201618,0.0711029530665687,-0.00486129591884323,1
0.3929,-0.326540328409132,0.0675685873927396,-0.00486129591884323,0
0.4029,-0.292429494384353,0.0640376797959756,-0.00394521415813391,1
0.4129,-0.260118224991981,0.0605187546186402,-0.00394521415813391,0
0.4229,-0.229598729457669,0.0570368518481964,-0.00312095584996097,1
0.4329,-0.200850704804113,0.0536017237989977,-0.00274301589557858,1
0.4429,-0.17384899219981,0.0502261832886476,-0.00238751784914521,1
0.4529,-0.148562051563287,0.0469215138899117,-0.00205409918692304,1
0.4629,-0.124952732566768,0.0436975598068889,-0.0017423209664462,1
0.4729,-0.102978999930756,0.040562814378187,-0.00145167736806943,1
0.4829,-0.082594613741732,0.037524506893096,-0.00118160465798995,1
0.4929,-0.0637497656814423,0.0345886874453727,-0.000931489583102099,1
0.5029,-0.0463916721930746,0.0317603095855507,-0.000700677209911444,1
0.5129,-0.0304651257281061,0.0290433105667128,-0.000488478221362265,1
0.5229,-0.0159130053190216,0.0264406890104542,-0.000294175686833181,1
0.5329,-0.00267674780847549,0.0239545798493816,-0.000117031321745588,1
0.5429,0.00930321886402376,0.0215863264299859,4.37087457776016e-05,1
0.5529,0.0200870788601527,0.0193365496851767,0.000188808682955633,1
0.5629,0.0297352666238809,0.0172052143092195,0.000319038116208504,1
0.5729,0.0383081385118668,0.0151916918893734,0.000435167731459313,1
0.5829,0.0458656763180416,0.0132948209682291,0.000537965291169483,1
0.5929,0.0524672211258381,0.0115129640287076,0.000628192048188125,1
0.6029,0.0581712359190661,0.00984406140994258,0.000706599536409191,1
0.6129,0.0630350953881183,0.00828568217694017,0.000773926718251643,1
0.6229,0.0671149013812003,0.00683507198005595,0.000830897469097982,1
0.6329,0.070465322469847,0.00548919795202871,0.000878218379035144,1
0.6429,0.0731394561233915,0.00424479070065266,0.000916576852529397,1
0.6529,0.0751887120175945,0.00309808283787877,0.000916576852529397,0
0.6629,0.0766625647245163,0.00204555320244024,0.000916576852529397,0
0.6729,0.0776086787610119,0.00108353800347635,0.000916576852529397,0
0.6829,0.078072839083989,0.000208263184043891,0.000916576852529397,0
0.6929,0.078098897836927,-0.00058332709174402,0.000996443345636791,1
0.7029,0.0777291353932181,-0.00129601892748252,0.000996443345636791,0
0.7129,0.0770033967940836,-0.00193374395521008,0.000996443345636791,0
0.7229,0.0759595214196845,-0.00250043909417354,0.000996443345636791,0
0.7329,0.074633342351178,-0.00300002596549666,0.000996443345636791,0
0.7429,0.0730586960260785,-0.00343639235900241,0.000996443345636791,0
0.7529,0.0712674411505512,-0.00381337564990659,0.000996443345636791,0
0.7629,0.0692894858844473,-0.00413474806296507,0.000996443345636791,0
0.7729,0.0671528223670804,-0.00440420368205667,0.000996443345636791,0
0.7829,0.0648835677036849,-0.00462534710406544,0.000996443345636791,0
0.7929,0.0625060105839485,-0.00480168363723938,0.000996443345636791,0
0.8029,0.0600426627547449,-0.00493661094589856,0.000996443345636791,0
0.8129,0.0575143146190409,-0.00503341204539978,0.000996443345636791,0
0.8229,0.054940094281722,-0.00509804200177276,0.00071719852774481,1
0.8329,0.0523361331865538,-0.00513046675913526,0.00071719852774481,0
0.8429,0.0497185636737997,-0.00513360942980982,0.00071719852774481,0
0.8529,0.047102040395221,-0.00511026213828939,0.00071719852774481,0
0.8629,0.044499807285681,-0.00506308434313521,0.00071719852774481,0
0.8729,0.0419237653068278,-0.00499460199640105,0.00071719852774481,0
0.8829,0.0393845405433204,-0.00490919467292544,0.000518477690378538,1
0.8929,0.0368905586663144,-0.00480725691957993,0.000486369148616918,1
0.9029,0.0344500396478581,-0.00469057312279891,0.000486369148616918,0
0.9129,0.0320703030468108,-0.00456115251551143,0.000486369148616918,0
0.9229,0.0297576564860082,-0.00442179817385299,0.000394212057540377,1
