Time,Event,EventTime,U,Beta,G1_1,G1_2,X1_1,X1_2,XX1,SS,gg1,z1,chi,Normalized chi
0,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,0.85,0
0.01,1,0.01,0,0,0,0,-4,-4,1588476537.92843,0,0,0,11.9548528784788,0.00247318289958129
0.02,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,11.9548528784788,0.00247318289958129
0.03,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,11.9548528784788,0.00247318289958129
0.04,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,11.9548528784788,0.00247318289958129
0.05,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,11.9548528784788,0.00247318289958129
0.06,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,11.9548528784788,0.00247318289958129
0.07,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,11.9548528784788,0.00247318289958129
0.08,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,11.9548528784788,0.00247318289958129
0.09,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,11.9548528784788,0.00247318289958129
0.1,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,11.9548528784788,0.00247318289958129
0.11,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,11.9548528784788,0.00247318289958129
0.12,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,11.9548528784788,0.00247318289958129
0.13,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,11.9548528784788,0.00247318289958129
0.14,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,11.9548528784788,0.00247318289958129
0.15,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,11.9548528784788,0.00247318289958129
0.16,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,11.9548528784788,0.00247318289958129
0.17,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,11.9548528784788,0.00247318289958129
0.18,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,11.9548528784788,0.00247318289958129
0.19,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,11.9548528784788,0.00247318289958129
0.2,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,11.9548528784788,0.00247318289958129
0.21,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,11.9548528784788,0.00247318289958129
0.22,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,11.9548528784788,0.00247318289958129
0.23,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,11.9548528784788,0.00247318289958129
0.24,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,11.9548528784788,0.00247318289958129
0.25,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,11.9548528784788,0.00247318289958129
0.26,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,11.9548528784788,0.00247318289958129
0.27,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,11.9548528784788,0.00247318289958129
0.28,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,11.9548528784788,0.00247318289958129
0.29,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,11.9548528784788,0.00247318289958129
0.3,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,11.9548528784788,0.00247318289958129
0.31,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,11.9548528784788,0.00247318289958129
0.32,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,11.9548528784788,0.00247318289958129
0.33,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,11.9548528784788,0.00247318289958129
0.34,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,11.9548528784788,0.00247318289958129
0.35,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,11.9548528784788,0.00247318289958129
0.36,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,11.9548528784788,0.00247318289958129
0.37,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,11.9548528784788,0.00247318289958129
0.38,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,11.9548528784788,0.00247318289958129
0.39,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,11.9548528784788,0.00247318289958129
0.4,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,11.9548528784788,0.00247318289958129
0.41,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,11.9548528784788,0.00247318289958129
0.42,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,11.9548528784788,0.00247318289958129
0.43,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,11.9548528784788,0.00247318289958129
0.44,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,11.9548528784788,0.00247318289958129
0.45,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,11.9548528784788,0.00247318289958129
0.46,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,11.9548528784788,0.00247318289958129
0.47,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,11.9548528784788,0.00247318289958129
0.48,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,11.9548528784788,0.00247318289958129
0.49,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,11.9548528784788,0.00247318289958129
0.5,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,11.9548528784788,0.00247318289958129
0.51,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,11.9548528784788,0.00247318289958129
0.52,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,11.9548528784788,0.00247318289958129
0.53,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,11.9548528784788,0.00247318289958129
0.54,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,11.9548528784788,0.00247318289958129
0.55,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,11.9548528784788,0.00247318289958129
0.56,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,11.9548528784788,0.00247318289958129
0.57,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,11.9548528784788,0.00247318289958129
0.58,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,11.9548528784788,0.00247318289958129
0.59,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,11.9548528784788,0.00247318289958129
0.6,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,11.9548528784788,0.00247318289958129
0.61,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,11.9548528784788,0.00247318289958129
0.62,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,11.9548528784788,0.00247318289958129
0.63,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,11.9548528784788,0.00247318289958129
0.64,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,11.9548528784788,0.00247318289958129
0.65,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,11.9548528784788,0.00247318289958129
0.66,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,11.9548528784788,0.00247318289958129
0.67,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,11.9548528784788,0.00247318289958129
0.68,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,11.9548528784788,0.00247318289958129
0.69,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,11.9548528784788,0.00247318289958129
0.7,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,11.9548528784788,0.00247318289958129
0.71,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,11.9548528784788,0.00247318289958129
0.72,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,11.9548528784788,0.00247318289958129
0.73,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,11.9548528784788,0.00247318289958129
0.74,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,11.9548528784788,0.00247318289958129
0.75,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,11.9548528784788,0.00247318289958129
0.76,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,11.9548528784788,0.00247318289958129
0.77,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,11.9548528784788,0.00247318289958129
0.78,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,11.9548528784788,0.00247318289958129
0.79,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,11.9548528784788,0.00247318289958129
0.8,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,11.9548528784788,0.00247318289958129
0.81,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,11.9548528784788,0.00247318289958129
0.82,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,11.9548528784788,0.00247318289958129
0.83,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,11.9548528784788,0.00247318289958129
0.84,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,11.9548528784788,0.00247318289958129
0.85,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,11.9548528784788,0.00247318289958129
0.86,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,11.9548528784788,0.00247318289958129
0.87,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,11.9548528784788,0.00247318289958129
0.88,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,11.9548528784788,0.00247318289958129
0.89,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,11.9548528784788,0.00247318289958129
0.9,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,11.9548528784788,0.00247318289958129
0.91,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,11.9548528784788,0.00247318289958129
0.92,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,11.9548528784788,0.00247318289958129
0.93,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,11.9548528784788,0.00247318289958129
0.94,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,11.9548528784788,0.00247318289958129
0.95,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,11.9548528784788,0.00247318289958129
0.96,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,11.9548528784788,0.00247318289958129
0.97,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,11.9548528784788,0.00247318289958129
0.98,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,11.9548528784788,0.00247318289958129
0.99,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,11.9548528784788,0.00247318289958129
1,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,11.9548528784788,0.00247318289958129
1.01,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,11.9548528784788,0.00247318289958129
1.02,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,11.9548528784788,0.00247318289958129
1.03,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,11.9548528784788,0.00247318289958129
1.04,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,11.9548528784788,0.00247318289958129
1.05,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,11.9548528784788,0.00247318289958129
1.06,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,11.9548528784788,0.00247318289958129
1.07,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,11.9548528784788,0.00247318289958129
1.08,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,11.9548528784788,0.00247318289958129
1.09,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,11.9548528784788,0.00247318289958129
1.1,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,11.9548528784788,0.00247318289958129
1.11,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,11.9548528784788,0.00247318289958129
1.12,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,11.9548528784788,0.00247318289958129
1.13,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,11.9548528784788,0.00247318289958129
1.14,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,11.9548528784788,0.00247318289958129
1.15,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,11.9548528784788,0.00247318289958129
1.16,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,11.9548528784788,0.00247318289958129
1.17,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,11.9548528784788,0.00247318289958129
1.18,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,11.9548528784788,0.00247318289958129
1.19,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,11.9548528784788,0.00247318289958129
1.2,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,11.9548528784788,0.00247318289958129
1.21,NaN,NaN,0,1,-0.984920530883253,-1,-5.996,-3.56001880728273,1588476537.92843,1985595672.41053,1985595672.41053,-4,11.9548528784788,0.00247318289958129
1.22,NaN,NaN,0,1,-0.985507520808337,-1,-7.77001340364136,-3.14407574802136,2413100175.43259,3016375219.29073,3016375219.29073,-5.996,11.9548528784788,0.00247318289958129
1.23,NaN,NaN,0,1,-0.986071821644476,-1,-9.3342812642484,-2.75198687428562,3486306124.50575,4357882655.63219,4357882655.63219,-7.77001340364136,11.9548528784788,0.00247318289958129
1.24,NaN,NaN,0,1,-0.98661429815143,-1,-10.700940420127,-2.38346422242592,4699124360.95327,5873905451.19159,5873905451.19159,-9.3342812642484,11.9548528784788,0.00247318289958129
1.25,NaN,NaN,0,1,-0.987135783066163,-1,-11.8819715909198,-2.0381272567947,5963875913.18826,7454844891.48532,7454844891.48532,-10.700940420127,11.9548528784788,0.00247318289958129
1.26,NaN,NaN,0,1,-0.987637078216778,-1,-12.8891532477262,-1.7155136881321,7211592393.73537,9014490492.16921,9014490492.16921,-11.8819715909198,11.9548528784788,0.00247318289958129
1.27,NaN,NaN,0,0,-0.988118955603319,-1,-13.7340209385446,-1.41507078684163,8389581540.82267,10486976926.0283,10486976926.0283,-12.8891532477262,11.9548528784788,0.00247318289958129
1.28,NaN,NaN,0,1,-0.988582158445953,-1,-14.4278223110268,-1.13624239453525,9459153063.17957,11823941328.9745,11823941328.9745,-13.7340209385446,11.9548528784788,0.00247318289958129
1.29,NaN,NaN,0,1,-0.989027402201099,-1,-14.9815156859834,-0.878358838493668,10393518913.4682,12991898641.8353,12991898641.8353,-14.4278223110268,11.9548528784788,0.00247318289958129
1.3,NaN,NaN,0,1,-0.989455375546103,-1,-15.4057135895443,-0.640726714648335,11175898411.7775,13969873014.7219,13969873014.7219,-14.9815156859834,11.9548528784788,0.00247318289958129
1.31,NaN,NaN,0,1,-0.989866741333068,-1,-15.7106712332789,-0.422615834092274,11797754450.0984,14747193062.6231,14747193062.6231,-15.4057135895443,11.9548528784788,0.00247318289958129
1.32,NaN,NaN,0,1,-0.990262137512483,-1,-15.9062684790918,-0.223266474708927,12257247030.727,15321558788.4088,15321558788.4088,-15.7106712332789,11.9548528784788,0.00247318289958129
1.33,NaN,NaN,0,1,-0.990642178027299,-1,-16.0019954479671,-0.0418960879891811,12557851874.1522,15697314842.6902,15697314842.6902,-15.9062684790918,11.9548528784788,0.00247318289958129
1.34,NaN,NaN,0,0,-0.991007453678118,-1,-16.0069414965138,0.122313475289408,12707146792.2755,15883933490.3444,15883933490.3444,-16.0019954479671,11.9548528784788,0.00247318289958129
1.35,NaN,NaN,0,1,-0.991358532960176,-1,-15.9297778173725,0.270132579873357,12715757187.5316,15894696484.4145,15894696484.4145,-16.0069414965138,11.9548528784788,0.00247318289958129
1.36,NaN,NaN,0,1,-0.991695962872799,-1,-15.7787817496185,0.402398129053757,12596434300.7428,15745542875.9285,15745542875.9285,-15.9297778173725,11.9548528784788,0.00247318289958129
1.37,NaN,NaN,0,1,-0.992020269702012,-1,-15.561803903342,0.519927154801944,12363334284.7231,15454167855.9039,15454167855.9039,-15.7787817496185,11.9548528784788,0.00247318289958129
1.38,NaN,NaN,0,1,-0.992331959777005,-1,-15.2862785220377,0.623533491980788,12031327373.0115,15039159216.2643,15039159216.2643,-15.561803903342,11.9548528784788,0.00247318289958129
