Time,Event,EventTime,U,Beta,G1_1,G1_2,X1_1,X1_2,XX1,SS,gg1,z1,G11,G22,rho,delta
0,NaN,NaN,0,0,0,0,-0.4,-0.4,283263.482244429,0,2832634.82244429,0,0.0268137952588127,0.282554680383203,0,0
0.05,1,0.05,-0.00139722651043066,1,-0.0399786803111636,-0.327477394808705,-1.38241396293886,-0.180007506994648,283263.482244429,2832634.82244429,0,-0.4,0.00171318196779903,0.267790073905657,0.7084349495287,0.1284349495287
0.1,1,0.05,-0.00352075119950023,0,-0.0599281035291435,-0.469945198933038,-1.52067189853541,-0.0210590929103558,3560282.86556114,35602828.6556114,0,-1.38241396293886,0.0332677440524218,0.232634055761756,0.694549625913847,0.114549625913847
0.15,NaN,NaN,-0.00352075119950023,1,-0.0798297691111314,-0.591519395431817,-1.41953218665637,0.065494451032314,4384607.98722469,43846079.8722469,477145.880717471,-1.52067189853541,0.0593629243618204,0.269732528631629,0.710222948995044,0.130222948995044
0.2,NaN,NaN,-0.00352075119950023,1,-0.0996679946249558,-0.69106946983293,-1.22299854441695,0.103705022670704,3859011.70711299,38590117.0711299,163347.825171744,-1.41953218665637,0.0804094429606009,0.24230695186368,0.704865599808634,0.124865599808634
0.25,NaN,NaN,-0.00352075119950023,1,-0.119427298534386,-0.7698665359089,-0.703930040407788,0.113000484058095,2883751.06928995,28837510.6928995,487859.451244466,-1.22299854441695,0.119435334951165,0.228252853286338,0.700216280371498,0.120216280371498
0.3,1,0.2,-0.00194744286340191,1,-0.139092447878458,-0.830578868538528,-0.327888539016578,0.0916850080925087,968673.297975646,9686732.97975646,0,-0.703930040407788,0.148873095715495,0.245646370931695,0.705601286873984,0.125601286873984
0.35,1,0.05,-0.000909049787774249,1,-0.158648504297499,-0.876393067472823,-0.0954747418372018,0.0622090723742661,215164.680106367,2151646.80106367,0,-0.327888539016578,0.15923892580466,0.226688091724403,0.705780949978375,0.125780949978375
0.4,1,0.05,-0.000269221890045997,1,-0.17808086811733,-0.910424593900427,0.078358622580004,0.0358709412652595,19866.2795006451,198662.795006451,0,-0.0954747418372018,0.180925522750908,0.220930095130283,0.704975581261681,0.124975581261682
0.45,1,0.05,0.000213289466512381,1,-0.197375320224904,-0.935409070603099,0.15523145341038,0.014005334635182,11027.7689274469,110277.689274469,0,0.078358622580004,0.198309131802934,0.227905801357804,0.70926435620323,0.12926435620323
0.5,1,0.05,0.000467683251800078,1,-0.216518061493029,-0.953594123708712,0.189467948621518,-0.00079265824301774,45152.7965742684,451527.965742684,0,0.15523145341038,0.231806163067678,0.230650077793826,0.696472801990084,0.116472801990084
0.55,NaN,NaN,0.000467683251800078,0,-0.235495749538498,-0.966747287784237,0.156182382334494,-0.00984634238999476,68266.0755903818,682660.755903818,24243.8817744183,0.189467948621518,0.237895920082979,0.190113849955528,0.70973505336104,0.12973505336104
0.6,NaN,NaN,0.000467683251800078,1,-0.254295532626391,-0.976217736711226,0.10184838882951,-0.0127444023292868,46850.4960236774,468504.960236774,1115.19143864251,0.156182382334494,0.256868588627799,0.209298204960624,0.692987278327299,0.112987278327299
0.65,1,0.15,0.000289243068921269,1,-0.272905080563133,-0.983014274296711,0.0690496811820363,-0.0115023980973663,20145.0877427724,201450.877427724,0,0.10184838882951,0.325579776274829,0.169057287237994,0.694485497758739,0.114485497758739
0.7,1,0.05,0.000186393140032046,0,-0.291312612451591,-0.987880397016832,0.0309821093881133,-0.00919436345078336,9331.22251282387,93312.2251282387,0,0.0690496811820363,0.331474076952908,0.17852456532173,0.688984351223282,0.108984351223282
0.75,1,0.05,8.3042984269581e-05,0,-0.309506921212638,-0.991358532960176,0.00144812797450176,-0.00614213504558387,1927.88119906925,19278.8119906925,0,0.0309821093881133,0.352471781095221,0.176448199264589,0.687961080046357,0.107961080046357
0.8,1,0.05,1.67057109753497e-07,1,-0.327477394808705,-0.993841590757045,-0.0139391203617217,-0.00318320777583919,13.5618360257592,135.618360257592,0,0.00144812797450176,0.36047110755189,0.15077487809781,0.686514636506691,0.106514636506691
0.85,1,0.05,-3.9341714875361e-05,1,-0.345214034135521,-0.995612733286583,-0.0204599595518776,-0.000924660767697354,357.287379954151,3572.87379954151,0,-0.0139391203617217,0.390588503331419,0.135884137179766,0.689805205068581,0.109805205068581
0.9,1,0.05,-5.21095107071654e-05,1,-0.362707467578051,-0.996875298099342,-0.0181692298095697,0.000546488023388619,789.788184511503,7897.88184511503,0,-0.0204599595518776,0.409519077625108,0.136640548753725,0.685799753509491,0.105799753509491
0.95,NaN,NaN,-5.21095107071654e-05,1,-0.379948962255225,-0.997774927934279,-0.016031372225951,0.00114152025803311,630.486376081045,6304.86376081045,93.1627305849187,-0.0181692298095697,0.4031928293178,0.130082665577268,0.677427990660988,0.0974279906609883
1,NaN,NaN,-5.21095107071654e-05,0,-0.396930432005078,-0.99841575172321,-0.0120152706096369,0.00136972326477875,494.320915840527,4943.20915840528,351.997504382459,-0.016031372225951,0.388023889322181,0.12821934217675,0.668742537492908,0.0887425374929079
1.05,1,0.15,-3.05448297235723e-05,1,-0.413644442187135,-0.998872121582616,-0.00582766200998606,0.00126927950139478,279.799100017989,2797.99100017989,0,-0.0120152706096369,0.452461281718472,0.119137094833464,0.670557309404278,0.0905573094042785
1.1,1,0.05,-1.54734448233993e-05,1,-0.430084211401979,-0.999197079104834,-0.00225305400680863,0.00088633627485167,67.1277194823143,671.277194823143,0,-0.00582766200998606,0.428229300763233,0.0985825868566815,0.671493285524815,0.0914932855248153
1.15,1,0.05,-5.67389451908215e-06,1,-0.44624361024878,-0.999428438598316,6.52640521106493e-05,0.000512718071496212,10.4088287304767,104.088287304767,0,-0.00225305400680863,0.417534188790909,0.0884375359105027,0.657057106606517,0.0770571066065166
1.2,1,0.05,-2.12786683600915e-08,1,-0.46211715726001,-0.99959314604389,0.00133230572549672,0.000233523882980629,0.0451834258656711,0.451834258656711,0,6.52640521106493e-05,0.440756813616785,0.0850227916803531,0.659039212589397,0.0790392125893969
1.25,1,0.05,3.56450403830632e-06,0,-0.477700012168498,-0.999710396447816,0.00178399928462887,5.03248804173939e-05,3.28643120269878,32.8643120269878,0,0.00133230572549672,0.397638330543851,0.0696208467839049,0.654712848361131,0.0747128483611315
1.3,NaN,NaN,3.56450403830632e-06,1,-0.492987966675324,-0.999793860182703,0.00186663398644187,-0.000113205040892518,6.02076032275129,60.2076032275128,4.19487735607543,0.00178399928462887,0.46695643995587,0.059139300975164,0.656391478200228,0.0763914782002276
1.35,NaN,NaN,3.56450403830632e-06,1,-0.507977432897896,-0.999853271436724,0.00118511880506721,-0.000173521068277465,6.6894119402823,66.894119402823,6.21821194164633,0.00186663398644187,0.404645193967317,0.0529838490152651,0.644035848470982,0.0640358484709826
1.4,NaN,NaN,3.56450403830632e-06,0,-0.522665429685821,-0.999895560754711,0.000596174880060683,-0.000145838249190178,2.73837614162966,27.3837614162966,0.52488148333532,0.00118511880506721,0.398682329947044,0.0457437843643365,0.639418310944502,0.0594183109445017
1.45,1,0.2,1.49179992431999e-06,0,-0.537049566998035,-0.999925662125794,0.000225406736794423,-0.000102653278601907,0.706279913610411,7.06279913610411,0,0.000596174880060683,0.489597107131333,0.0307360317183282,0.63121422136664,0.0512142213666398
1.5,1,0.05,5.62227372320437e-07,1,-0.551128028538147,-0.999947087940426,-7.47907195962297e-05,-9.10421088188764e-05,0.105643747572522,1.05643747572522,0,0.000225406736794423,0.481986630722427,0.0237047706045342,0.6322834027405,0.0522834027405004
