Time,Event,EventTime,U,Beta,G1_1,G1_2,X1_1,X1_2,XX1,SS,gg1,z1,chi,Normalized chi
0,NaN,NaN,0,0,0,0,-4,-4,522275581.168587,0,5222755811.68587,0,0.85,0
0.01,1,0.01,0,0,0,0,-4,-4,522275581.168587,0,0,0,84.5479228714041,2.22126040661327e-07
0.02,NaN,NaN,0,0,0,0,-4,-4,522275581.168587,0,5222755811.68587,0,84.5479228714041,2.22126040661327e-07
0.03,NaN,NaN,0,0,0,0,-4,-4,522275581.168587,0,5222755811.68587,0,84.5479228714041,2.22126040661327e-07
0.04,NaN,NaN,0,0,0,0,-4,-4,522275581.168587,0,5222755811.68587,0,84.5479228714041,2.22126040661327e-07
0.05,NaN,NaN,0,0,0,0,-4,-4,522275581.168587,0,5222755811.68587,0,84.5479228714041,2.22126040661327e-07
0.06,NaN,NaN,0,0,0,0,-4,-4,522275581.168587,0,5222755811.68587,0,84.5479228714041,2.22126040661327e-07
0.07,NaN,NaN,0,0,0,0,-4,-4,522275581.168587,0,5222755811.68587,0,84.5479228714041,2.22126040661327e-07
0.08,NaN,NaN,0,0,0,0,-4,-4,522275581.168587,0,5222755811.68587,0,84.5479228714041,2.22126040661327e-07
0.09,NaN,NaN,0,0,0,0,-4,-4,522275581.168587,0,5222755811.68587,0,84.5479228714041,2.22126040661327e-07
0.1,NaN,NaN,0,0,0,0,-4,-4,522275581.168587,0,5222755811.68587,0,84.5479228714041,2.22126040661327e-07
0.11,NaN,NaN,0,0,0,0,-4,-4,522275581.168587,0,5222755811.68587,0,84.5479228714041,2.22126040661327e-07
0.12,NaN,NaN,0,0,0,0,-4,-4,522275581.168587,0,5222755811.68587,0,84.5479228714041,2.22126040661327e-07
0.13,NaN,NaN,0,0,0,0,-4,-4,522275581.168587,0,5222755811.68587,0,84.5479228714041,2.22126040661327e-07
0.14,NaN,NaN,0,0,0,0,-4,-4,522275581.168587,0,5222755811.68587,0,84.5479228714041,2.22126040661327e-07
0.15,NaN,NaN,0,0,0,0,-4,-4,522275581.168587,0,5222755811.68587,0,84.5479228714041,2.22126040661327e-07
0.16,NaN,NaN,0,0,0,0,-4,-4,522275581.168587,0,5222755811.68587,0,84.5479228714041,2.22126040661327e-07
0.17,NaN,NaN,0,0,0,0,-4,-4,522275581.168587,0,5222755811.68587,0,84.5479228714041,2.22126040661327e-07
0.18,NaN,NaN,0,0,0,0,-4,-4,522275581.168587,0,5222755811.68587,0,84.5479228714041,2.22126040661327e-07
0.19,NaN,NaN,0,0,0,0,-4,-4,522275581.168587,0,5222755811.68587,0,84.5479228714041,2.22126040661327e-07
0.2,NaN,NaN,0,0,0,0,-4,-4,522275581.168587,0,5222755811.68587,0,84.5479228714041,2.22126040661327e-07
0.21,NaN,NaN,0,0,0,0,-4,-4,522275581.168587,0,5222755811.68587,0,84.5479228714041,2.22126040661327e-07
0.22,NaN,NaN,0,0,0,0,-4,-4,522275581.168587,0,5222755811.68587,0,84.5479228714041,2.22126040661327e-07
0.23,NaN,NaN,0,0,0,0,-4,-4,522275581.168587,0,5222755811.68587,0,84.5479228714041,2.22126040661327e-07
0.24,NaN,NaN,0,0,0,0,-4,-4,522275581.168587,0,5222755811.68587,0,84.5479228714041,2.22126040661327e-07
0.25,NaN,NaN,0,0,0,0,-4,-4,522275581.168587,0,5222755811.68587,0,84.5479228714041,2.22126040661327e-07
0.26,NaN,NaN,0,0,0,0,-4,-4,522275581.168587,0,5222755811.68587,0,84.5479228714041,2.22126040661327e-07
0.27,NaN,NaN,0,0,0,0,-4,-4,522275581.168587,0,5222755811.68587,0,84.5479228714041,2.22126040661327e-07
0.28,NaN,NaN,0,0,0,0,-4,-4,522275581.168587,0,5222755811.68587,0,84.5479228714041,2.22126040661327e-07
0.29,NaN,NaN,0,0,0,0,-4,-4,522275581.168587,0,5222755811.68587,0,84.5479228714041,2.22126040661327e-07
0.3,NaN,NaN,0,0,0,0,-4,-4,522275581.168587,0,5222755811.68587,0,84.5479228714041,2.22126040661327e-07
0.31,NaN,NaN,0,0,0,0,-4,-4,522275581.168587,0,5222755811.68587,0,84.5479228714041,2.22126040661327e-07
0.32,NaN,NaN,0,0,0,0,-4,-4,522275581.168587,0,5222755811.68587,0,84.5479228714041,2.22126040661327e-07
0.33,NaN,NaN,0,0,0,0,-4,-4,522275581.168587,0,5222755811.68587,0,84.5479228714041,2.22126040661327e-07
