Time,Event,EventTime,U,Beta,G1_1,G1_2,X1_1,X1_2,XX1,SS,gg1,z1,G11,G22,rho,delta
0,NaN,NaN,0,0,0,0,-4,-4,20492827.0365377,0,204928270.365377,0,0.0273308235059048,0.260488512821684,0,0
0.05,1,0.05,-0.024103242862269,1,-0.0399786803111636,-0.327477394808705,-13.8241396293886,-1.80001296601874,20492827.0365377,204928270.365377,0,-4,0.00191468283673215,0.274430112479205,0.714816191565363,0.134816191565363
0.1,1,0.05,-0.0621730752320921,1,-0.0599281035291435,-0.469945198933038,-15.2065637255348,-0.208798663050267,258064816.159198,2580648161.59198,0,-13.8241396293886,0.0339533506984872,0.261458438565382,0.717936269584945,0.137936269584945
0.15,NaN,NaN,-0.0621730752320921,1,-0.0798297691111314,-0.591519395431817,-14.1907016432301,0.655912671288108,317892707.522712,3178927075.22712,34664392.1493667,-15.2065637255348,0.0655135341939493,0.229100999111371,0.699695591671913,0.119695591671913
0.2,NaN,NaN,-0.0621730752320921,1,-0.0996679946249558,-0.69106946983293,-12.2230515661563,1.03745945244424,279642597.269875,2796425972.69875,11804846.4218335,-14.1907016432301,0.096447361383453,0.240670873093757,0.699749879779492,0.119749879779492
0.25,NaN,NaN,-0.0621730752320921,0,-0.119427298534386,-0.7698665359089,-7.03281645018441,1.12677365076833,208885895.64241,2088858956.4241,35507564.1884951,-12.2230515661563,0.108347689365466,0.231216023683183,0.705026619263576,0.125026619263576
0.3,1,0.2,-0.0337971526100053,1,-0.139092447878458,-0.830578868538528,-3.28134101764091,0.915007232547982,70121911.3911522,701219113.911522,0,-7.03281645018441,0.142828318279634,0.251184392787358,0.717347071599599,0.137347071599599
0.35,1,0.05,-0.0153894990656335,1,-0.158648504297499,-0.876393067472823,-0.961786191741401,0.621523475807036,15629777.34378,156297773.4378,0,-3.28134101764091,0.169456260018837,0.254995283901631,0.698590102494778,0.118590102494778
0.4,1,0.05,-0.00460227539449438,1,-0.17808086811733,-0.910424593900427,0.776479268174399,0.358838590845534,1461454.15830641,14614541.5830641,0,-0.961786191741401,0.196968273501637,0.206788338925268,0.700523829042722,0.120523829042722
0.45,1,0.05,0.00359398372401284,1,-0.197375320224904,-0.935409070603099,1.54669186444765,0.140574557738223,784058.633946269,7840586.33946269,0,0.776479268174399,0.236647419633206,0.207126181406178,0.705890144649453,0.125890144649453
0.5,1,0.05,0.00797126374168968,0,-0.216518061493029,-0.953594123708712,1.89038798315258,-0.00664875116618605,3249153.95059458,32491539.5059458,0,1.54669186444765,0.2546008712896,0.230987628699926,0.696962863770751,0.116962863770751
0.55,NaN,NaN,0.00797126374168968,1,-0.235495749538498,-0.966747287784237,1.56143594117195,-0.0978684586716331,4926672.83773453,49266728.3773452,1771373.54644277,1.89038798315258,0.271483191281073,0.216370343207634,0.704359831736678,0.124359831736678
0.6,NaN,NaN,0.00797126374168968,0,-0.254295532626391,-0.976217736711226,1.01965722480138,-0.12660746320733,3395386.27939435,33953862.7939435,85485.4645705656,1.56143594117195,0.25482373748972,0.203775455737664,0.700772195941386,0.120772195941386
0.65,1,0.15,0.00497854760409566,1,-0.272905080563133,-0.983014274296711,0.69375074581896,-0.114351604401606,1464077.81766142,14640778.1766142,0,1.01965722480138,0.301757618559812,0.205757148284933,0.698523440636765,0.118523440636765
0.7,1,0.05,0.00319104006663697,0,-0.291312612451591,-0.987880397016832,0.31431716561086,-0.0917037874884194,682942.978125444,6829429.78125444,0,0.69375074581896,0.289722798659665,0.168886562774854,0.687078313147268,0.107078313147268
0.75,1,0.05,0.00145072366334349,1,-0.309506921212638,-0.991358532960176,0.0186267236874487,-0.0615896443694302,143798.237921109,1437982.37921109,0,0.31431716561086,0.340754435767843,0.180655615716664,0.693796878631818,0.113796878631818
0.8,1,0.05,2.31552072414605e-05,0,-0.327477394808705,-0.993841590757045,-0.13575784281515,-0.0317250006087254,1236.5198871417,12365.198871417,0,0.0186267236874487,0.355458981184706,0.150680828193571,0.694793290449992,0.114793290449992
0.85,1,0.05,-0.000658976277494902,1,-0.345214034135521,-0.995612733286583,-0.201073156183213,-0.00912624091676998,24543.5908646138,245435.908646138,0,-0.13575784281515,0.347806059370103,0.136735088073375,0.693891603298233,0.113891603298233
0.9,1,0.05,-0.000870329497796625,0,-0.362707467578051,-0.996875298099342,-0.178658199524061,0.00544702087588583,55299.0896381217,552990.896381217,0,-0.201073156183213,0.347694175934128,0.142229758321547,0.682245103570299,0.102245103570299
0.95,NaN,NaN,-0.000870329497796625,1,-0.379948962255225,-0.997774927934279,-0.157453128635266,0.0115876147913146,44204.7059575674,442047.059575674,6456.0073826892,-0.178658199524061,0.417045038736251,0.128241740553337,0.678108221069343,0.0981082210693425
