Time,X1_1_pred,X1_2_pred,U_pred,Event_pred
0.5929,0.0587263532891609,0.000119899686683177,0.000764177422514936,1
0.6029,0.0574062338302072,-0.000471862476462239,0.000749133841451037,1
0.6129,0.0558212560969662,-0.000991434764633046,0.000730380248504178,1
0.6229,0.054013739196371,-0.00144341900604496,0.000708484309444591,1
0.6329,0.0520227068222338,-0.00183237479109409,0.000683970631008498,1
0.6429,0.0498839858163643,-0.00216279116079134,0.000657321941567814,1
0.6529,0.047630316569284,-0.00243906209847853,0.000628980439731582,1
0.6629,0.0452914730806666,-0.00266546556150809,0.000599349281543247,1
0.6729,0.0428943906825169,-0.00284614579437058,0.000568794179336493,1
0.6829,0.0404632996042925,-0.00298509867088241,0.000537645087628462,1
0.6929,0.0380198627281504,-0.00308615982030053,0.00050619795365563,1
0.7029,0.0355833160438886,-0.0031529953004291,0.000474716512288515,1
0.7129,0.0331706104666427,-0.00318909458975415,0.000443434107092358,1
0.7229,0.0307965538257995,-0.00319776568023288,0.000412555521228786,1
0.7329,0.0284739519707768,-0.00318213206243042,0.000382258803716077,1
0.7429,0.0262137480682483,-0.00314513140511233,0.000352697078282099,1
0.7529,0.0240251592860883,-0.00308951574204704,0.000324000323653947,1
0.7629,0.0219158101718417,-0.00301785298954689,0.000296277115632555,1
0.7729,0.01989186213803,-0.00293252962908362,0.000269616322700311,1
0.7829,0.0179581385632445,-0.00283575440007348,0.000244088748206978,1
0.7929,0.0161182451069715,-0.00272956285856482,0.000219748713376431,1
0.8029,0.0143746849176752,-0.00261582266801328,0.000196635576476805,1
0.8129,0.0127289684881032,-0.00249623949854368,0.0001747751845028,1
0.8229,0.011181717979361,-0.00237236342102399,0.000154181254634831,1
0.8329,0.00973276589633398,-0.00224559569187951,0.000134856683569058,1
0.8429,0.00838124805183037,-0.00211719583381931,0.000116794783559318,1
0.8529,0.0071256908057027,-0.00198828892650888,9.99804446805414e-05,1
0.8629,0.00596409260851425,-0.00185987302968084,8.43912234177272e-05,1
0.8729,0.00489399991737375,-0.0017328266692158,6.99983582092358e-05,1
0.8829,0.00391257758470756,-0.00160791632433764,5.67677130322533e-05,1
0.8929,0.00301667384929812,-0.00148580386124579,4.46606505161596e-05,1
0.9029,0.00220288008321672,-0.00136705386525009,3.36348364103318e-05,1
0.9129,0.00146758546863608,-0.00125214082978204,2.36449775208243e-05,1
0.9229,0.000807026795232112,-0.0011414561665355,1.46434954694166e-05,1
0.9329,0.000217333582276407,-0.00103531500644605,6.58113882265296e-06,1
0.9429,-0.000305431260130111,-0.00093396276626129,-5.92463708485217e-07,1
0.9529,-0.000765235008647699,-0.00083758146009568,-6.92830618207179e-06,1
0.9629,-0.00116604271599232,-0.000746295739615176,-1.24775615540684e-05,1
0.9729,-0.00151178858197409,-0.000660178650374472,-1.729118807365e-05,1
0.9829,-0.00180635087548493,-0.000579257095347009,-2.14195829725622e-05,1
0.9929,-0.00205353017758454,-0.000503516999862227,-2.49122804768365e-05,1
1.0029,-0.00225703071834242,-0.000432908175012075,-2.78176911915334e-05,1
1.0129,-0.00242044458396741,-0.000367348879126947,-3.01828799504209e-05,1
1.0229,-0.00254723857580765,-0.00030673007916738,-3.20533792801285e-05,1
1.0329,-0.00264074350885986,-0.000250919415849565,-3.34730357000181e-05,1
1.0429,-0.00270414574432643,-0.000199764878037637,-3.44838861626329e-05,1
1.0529,-0.00274048075835358,-0.00015309819341094,-3.51260620331231e-05,1
1.0629,-0.00275262855723774,-0.000110737943667387,-3.54377181076698e-05,1
1.0729,-0.00274331075797635,-7.24924135710602e-05,-3.5454984278962e-05,1
1.0829,-0.00271508916194943,-3.81621840098876e-05,-3.52119375696863e-05,1
1.0929,-0.00267036565864857,-7.54247991311832e-06,-3.47405923713817e-05,1
1.1029,-0.00261138330562688,1.95747155962328e-05,-3.40709068446396e-05,1
1.1129,-0.00254022844014654,4.33987690573147e-05,-3.32308035563603e-05,1
1.1229,-0.00245883368727443,6.41387145275524e-05,-3.22462025496251e-05,1
1.1329,-0.00236898173835971,8.20017692959334e-05,-3.11410651608069e-05,1
1.1429,-0.00227230978286029,9.71920352797766e-05,-2.99374470160542e-05,1
1.1529,-0.00217031448532318,0.000109909373992856,-2.86555587545654e-05,1
1.1629,-0.00206435740792166,0.000120348443115417,-2.73138331385403e-05,1
1.1729,-0.00195567078727779,0.000128697882909903,-2.59289973188626e-05,1
1.1829,-0.00184536358232181,0.000135139641000381,-2.45161491310207e-05,1
1.1929,-0.00173442771763706,0.000139848424359589,-2.30888363971707e-05,1
1.2029,-0.00162374445409279,0.000142991267716927,-2.1659138307329e-05,1
1.2129,-0.00151409082556315,0.00014472720800571,-2.02377480452352e-05,1
1.2229,-0.00140614608715956,0.000145207054901648,-1.88340559123065e-05,1
1.2329,-0.00130049812666049,0.000144573247960216,-1.74562322862166e-05,1
1.2429,-0.00119764979670386,0.00014295979133251,-1.61113098289185e-05,1
1.2529,-0.00109802513081506,0.000140492257521974,-1.48052644323867e-05,1
1.2629,-0.00100197541147992,0.000137287852133337,-1.35430944590048e-05,1
1.2729,-0.000909785063243474,0.000133455532055829,-1.23288978974236e-05,1
1.2829,-0.000821677348229338,0.000129096170011541,-1.11659471139581e-05,1
1.2929,-0.000737819845540178,0.000124302758883337,-1.00567609342769e-05,1
1.3029,-0.000658329699728315,0.000119160649712001,-9.00317384040666e-06,1
1.3129,-0.000583278626928699,0.000113747817716944,-8.00640211406535e-06,1
1.3229,-0.000512697670337403,0.000108135151146544,-7.06710679922053e-06,1
1.3329,-0.000446581699511202,0.000102386758201317,-6.1854533947077e-06,1
1.3429,-0.00038489365047203,9.65602876940777e-05,-5.36116822192756e-06,1
1.3529,-0.000327568505838899,9.07072595149577e-05,-4.59359144325198e-06,1
1.3629,-0.000274517016194206,8.48734013545109e-05,-3.88172673400113e-06,1
1.3729,-0.000225629165636387,7.90989885046529e-05,-3.22428763490214e-06,1
1.3829,-0.000180777385991605,7.34191839042215e-05,-2.61974063299722e-06,1
1.3929,-0.000139819525468692,6.78643759233431e-05,-2.06634503723138e-06,1
1.4029,-0.000102601578658506,6.24605116883896e-05,-1.56218973060707e-06,1
1.4129,-6.89601857158361e-05,5.72294240371954e-05,-1.10522689403531e-06,1
1.4229,-3.87249093329163e-05,5.2189150462554e-05,-6.93302808022825e-07,1
1.4329,-1.17202987323158e-05,4.73542426511548e-05,-3.24185847293022e-07,1
1.4429,1.2232249613471e-05,4.27360654554573e-05,4.40820948322712e-09,1
1.4529,3.33128244752831e-05,3.83430843480499e-05,2.94793427304635e-07,1
1.4629,5.17015152741389e-05,3.41811406023766e-05,5.49293388448788e-07,1
1.4729,6.7577099966385e-05,3.02537136209806e-05,7.70223158304661e-07,1
1.4829,8.11158949276652e-05,2.65621699933037e-05,9.59873408500917e-07,1
