Time,Event,EventTime,U,Beta,G1_1,G1_2,X1_1,X1_2,XX1,SS,gg1,z1,chi,G11,G22,rho,delta
0,NaN,NaN,0,0,0,0,-4,-4,1271716.55565706,0,1211158.62443529,0,0.1,0.030487790838594,0.261692391607837,0,0
0.05,1,0.05,-0.346785692689225,0,-0.0399786803111636,-0.327477394808705,-13.38,-1.81638688341259,1271716.55565706,1211158.62443529,0,-4,0.100538912341307,0.00158325065735584,0.261585780634219,0.704719911804071,0.124719911804071
0.1,1,0.05,-1.32595061698768,1,-0.0599281035291435,-0.469945198933038,-17.8540672085315,-0.238673513614764,14936640.6791051,14225372.0753382,0,-13.38,0.103722551915697,0.0292987703286251,0.262669628965112,0.715540366743229,0.135540366743229
0.15,NaN,NaN,-1.32595061698768,1,-0.0798297691111314,-0.591519395431817,-18.3614806565257,0.7737728439115,27085225.8639461,25795453.2037582,1734888.43708289,-17.8540672085315,0.103722551915697,0.0574875881412508,0.251074719159373,0.701677311903079,0.121677311903079
0.2,NaN,NaN,-1.32595061698768,1,-0.0996679946249558,-0.69106946983293,-16.3352411434644,1.30524236774217,28908245.6505549,27531662.524338,2232953.47865468,-18.3614806565257,0.103722551915697,0.0952376167243592,0.224418534324092,0.720535717395221,0.140535717395221
0.25,NaN,NaN,-1.32595061698768,1,-0.119427298534386,-0.7698665359089,-12.9904590183916,1.46958163902483,23028529.5541487,21931932.9087131,903997.231870086,-16.3352411434644,0.103722551915697,0.114150780594054,0.234774519713348,0.710762877051515,0.130762877051515
0.3,NaN,NaN,-1.32595061698768,0,-0.139092447878458,-0.830578868538528,-9.25155262573756,1.31897024693977,14649261.2416544,13951677.3730042,78619.6542837725,-12.9904590183916,0.103722551915697,0.153917028706204,0.250666343905941,0.70375752664015,0.12375752664015
0.35,1,0.25,-0.844535734358097,0,-0.158648504297499,-0.876393067472823,-5.90786924525944,1.08079681391936,7469966.35436477,7114253.67082359,0,-9.25155262573756,0.104253229409049,0.162219772423242,0.239782102328748,0.707594738976254,0.127594738976254
0.4,1,0.05,-0.532739183325837,1,-0.17808086811733,-0.910424593900427,-3.17633786423473,0.835789503633927,3069226.44051474,2923072.80049023,0,-5.90786924525944,0.104627692396213,0.19880363279247,0.216360493395139,0.706517485224929,0.126517485224929
0.45,1,0.05,-0.284318533144246,1,-0.197375320224904,-0.935409070603099,-1.07098241582874,0.576636275004448,901234.910150675,858318.962048261,0,-3.17633786423473,0.10487681918762,0.21115618655134,0.230024363299291,0.716670732833268,0.136670732833268
0.5,1,0.05,-0.0867107502596574,0,-0.216518061493029,-0.953594123708712,0.375963183761523,0.338497944066657,108844.027531747,103660.978601664,0,-1.07098241582874,0.105025104526166,0.240965014671084,0.197298063929199,0.700893580984274,0.120893580984274
0.55,1,0.05,0.0429598090632944,1,-0.235495749538498,-0.966747287784237,1.22032822800936,0.150288679829439,11212.084132253,10678.1753640505,0,0.375963183761523,0.105095526490917,0.242962528172637,0.183198202382015,0.694376341255562,0.114376341255562
