Time,Event,EventTime,U,Beta,G1_1,G1_2,X1_1,X1_2,XX1,SS,gg1,z1,chi,G11,G22,rho,delta
0,NaN,NaN,0,0,0,0,-4,-4,5615748.62080705,0,4679790.51733921,0,0.3,0.0269645071041348,0.234725732406955,0,0
0.05,1,0.05,-0.100475420783736,1,-0.0399786803111636,-0.327477394808705,-13.38,-1.79907158966553,5615748.62080705,4679790.51733921,0,-4,0.300166274433621,0.00178118125665009,0.263726367142551,0.701576300547402,0.121576300547402
0.1,1,0.05,-0.376389882139552,1,-0.0599281035291435,-0.469945198933038,-17.8107789741638,-0.229707634278093,65967474.8574804,54972895.714567,0,-13.38,0.301182835415248,0.0309652679364661,0.275917423690873,0.698117010142423,0.118117010142423
0.15,NaN,NaN,-0.376389882139552,1,-0.0798297691111314,-0.591519395431817,-18.2959941649883,0.776472227934247,119028682.695745,99190568.9131206,6575999.35354635,-17.8107789741638,0.301182835415248,0.0542188781503226,0.238072695863684,0.715822572744303,0.135822572744304
0.2,NaN,NaN,-0.376389882139552,1,-0.0996679946249558,-0.69106946983293,-16.2633336243277,1.30379543203799,126745746.976803,105621455.814002,8409538.54797035,-18.2959941649883,0.301182835415248,0.0902977831996577,0.252230606635654,0.697993700725124,0.117993700725124
0.25,NaN,NaN,-0.376389882139552,1,-0.119427298534386,-0.7698665359089,-12.9225283761111,1.46579799764649,100796669.619565,83997224.6829704,3343355.50664276,-16.2633336243277,0.301182835415248,0.11024518507014,0.24948722604545,0.701842951333506,0.121842951333506
0.3,NaN,NaN,-0.376389882139552,0,-0.139092447878458,-0.830578868538528,-9.19342074011431,1.36115993087898,64014154.7363321,53345128.9469434,306819.932050781,-12.9225283761111,0.301182835415248,0.15567859165365,0.242054371736397,0.712554796849009,0.132554796849009
0.35,NaN,NaN,-0.376389882139552,1,-0.158648504297499,-0.876393067472823,-5.74455380921628,1.14095232275313,32604139.3905391,27170116.1587826,5119724.10596967,-9.19342074011431,0.301182835415248,0.172948141192016,0.24265885804773,0.699251351167903,0.119251351167903
0.4,1,0.3,-0.151961842282061,0,-0.17808086811733,-0.910424593900427,-2.86345023328738,0.851072623416111,12851926.3640576,10709938.6367147,0,-5.74455380921628,0.301793315497909,0.199781551063696,0.249804929084813,0.714903975621588,0.134903975621588
0.45,1,0.05,-0.0737020614408496,0,-0.197375320224904,-0.935409070603099,-0.721451423580669,0.565993044758906,3256613.08937691,2713844.24114742,0,-2.86345023328738,0.301885917751439,0.231724402756302,0.234838974709392,0.714420766528908,0.134420766528908
0.5,1,0.05,-0.0157772182413529,1,-0.216518061493029,-0.953594123708712,0.697138445434499,0.31972238693009,231901.516746541,193251.263955451,0,-0.721451423580669,0.301937371085412,0.223912004393382,0.212531217663488,0.700691487556925,0.120691487556925
0.55,1,0.05,0.021484628195292,0,-0.235495749538498,-0.966747287784237,1.49295872053255,0.127035696713462,172856.993635059,144047.494695882,0,0.697138445434499,0.301960101871806,0.264526728800215,0.183312873082036,0.70846875315579,0.12846875315579
0.6,NaN,NaN,0.021484628195292,1,-0.254295532626391,-0.976217736711226,1.80308316871354,-0.0105275183498141,827136.522894291,689280.435745242,207297.906153393,1.49295872053255,0.301960101871806,0.268279335074292,0.187471565854065,0.698003635881856,0.118003635881856
0.65,1,0.1,0.0491988348748453,1,-0.272905080563133,-0.983014274296711,1.76774895699544,-0.0948451101825507,1223560.9094706,1019634.0912255,0,1.80308316871354,0.301974260558987,0.308764606904109,0.18434951378979,0.701289762161298,0.121289762161298
0.7,NaN,NaN,0.0491988348748453,1,-0.291312612451591,-0.987880397016832,1.52179743675409,-0.135259255586378,1185458.08849289,987881.740410743,451.831207095889,1.76774895699544,0.301974260558987,0.28831289766029,0.184519913588536,0.696501698268961,0.116501698268961
0.75,NaN,NaN,0.0491988348748453,0,-0.309506921212638,-0.991358532960176,1.17604031060437,-0.140345515438614,883898.846615947,736582.372179955,23479.6337866468,1.52179743675409,0.301974260558987,0.319662876860074,0.165847663651286,0.702135505976325,0.122135505976325
0.8,NaN,NaN,0.0491988348748453,0,-0.327477394808705,-0.993841590757045,0.819296320454815,-0.125596162834217,530746.123432756,442288.436193963,119581.219024048,1.17604031060437,0.301974260558987,0.384945012631967,0.178589153121242,0.697236947953831,0.117236947953831
0.85,1,0.2,0.0210830431295904,0,-0.345214034135521,-0.995612733286583,0.501209431766998,-0.101776200987411,259191.976926575,215993.314105479,0,0.819296320454815,0.301984676140401,0.401261725600159,0.138415060055072,0.687124055922639,0.10712405592264
0.9,1,0.05,0.0126513662073982,1,-0.362707467578051,-0.996875298099342,0.244262882139635,-0.0754047242458935,97918.7385875884,81598.9488229903,0,0.501209431766998,0.301985798410917,0.396908937335067,0.137964006884212,0.682973586613936,0.102973586613936
0.95,1,0.05,0.00596172031980687,1,-0.379948962255225,-0.997774927934279,0.0545297571142034,-0.0493579026274472,23753.8383404027,19794.8652836689,0,0.244262882139635,0.301986534285464,0.429208509596178,0.122292327222017,0.679592999015627,0.0995929990156273
1,1,0.05,0.00111332384017337,1,-0.396930432005078,-0.99841575172321,-0.0691376482399857,-0.0268400548986548,1368.19622925466,1140.16352437889,0,0.0545297571142034,0.301986938039196,0.427321856709278,0.117085167230615,0.680161515930564,0.100161515930564
